pygame 2.5.2 (SDL 2.28.3, Python 3.8.5)
Hello from the pygame community. https://www.pygame.org/contribute.html
starting game...
uart port started with sucess!
game started with sucess!
running game...

{'score': 0, 'player_direction': 'UP', 'lifes_quantity': 0, 'game_difficulty': 0, 'asteroids_positions': [(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)], 'asteroids_directions': ['UP', 'DOWN', 'LEFT', 'UP', 'RIGHT', 'DOWN', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP'], 'shots_positions': [(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)], 'shots_directions': ['UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP'], 'played_special_shooting': False, 'available_special_shooting': True, 'played_shooting': False, 'end_of_lifes': True}

{'score': 0, 'player_direction': 'UP', 'lifes_quantity': 0, 'game_difficulty': 0, 'asteroids_positions': [(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)], 'asteroids_directions': ['UP', 'DOWN', 'LEFT', 'UP', 'RIGHT', 'DOWN', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP'], 'shots_positions': [(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)], 'shots_directions': ['UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP'], 'played_special_shooting': False, 'available_special_shooting': True, 'played_shooting': False, 'end_of_lifes': True}

{'score': 0, 'player_direction': 'UP', 'lifes_quantity': 0, 'game_difficulty': 0, 'asteroids_positions': [(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)], 'asteroids_directions': ['UP', 'DOWN', 'LEFT', 'UP', 'RIGHT', 'DOWN', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP'], 'shots_positions': [(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)], 'shots_directions': ['UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP'], 'played_special_shooting': False, 'available_special_shooting': True, 'played_shooting': False, 'end_of_lifes': True}

{'score': 0, 'player_direction': 'UP', 'lifes_quantity': 0, 'game_difficulty': 0, 'asteroids_positions': [(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)], 'asteroids_directions': ['UP', 'DOWN', 'LEFT', 'UP', 'RIGHT', 'DOWN', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP'], 'shots_positions': [(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)], 'shots_directions': ['UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP'], 'played_special_shooting': False, 'available_special_shooting': True, 'played_shooting': False, 'end_of_lifes': True}

{'score': 0, 'player_direction': 'UP', 'lifes_quantity': 0, 'game_difficulty': 0, 'asteroids_positions': [(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)], 'asteroids_directions': ['UP', 'DOWN', 'LEFT', 'UP', 'RIGHT', 'DOWN', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP'], 'shots_positions': [(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)], 'shots_directions': ['UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP'], 'played_special_shooting': False, 'available_special_shooting': True, 'played_shooting': False, 'end_of_lifes': True}

{'score': 0, 'player_direction': 'UP', 'lifes_quantity': 0, 'game_difficulty': 0, 'asteroids_positions': [(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)], 'asteroids_directions': ['UP', 'DOWN', 'LEFT', 'UP', 'RIGHT', 'DOWN', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP'], 'shots_positions': [(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)], 'shots_directions': ['UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP', 'UP'], 'played_special_shooting': False, 'available_special_shooting': True, 'played_shooting': False, 'end_of_lifes': True}
